raw,result
Sinusitis,Chronic sinusitis
Tonsillitis,Tonsillitis
Skin infection,"Skin and soft tissue infection, other"
LRTI,Non-Match
Bacterial vaginosis,Bacterial vaginosis
Review,Non-Match
???UTI,Non-Match
Dental prophylaxis,Prophylaxis for endocarditis for dental procedure
Infective exacerbation of asthma,"Asthma, infective exacerbation"
Atypical pneumonia,Pneumonia: Legionella species
Travel advice,Travellers diarrhoea
"""Sinusitis, frontal""",Chronic sinusitis
Perioral dermatitis,Perioral dermatitis
Administrative procedure,"Surgical prophylaxis, gynaecological procedure"
Prescription,Non-Match
Perianal abscess,Perianal / anorectal abscess
Probable Hypertension - Borderline,Non-Match
Travel vaccination,Travellers diarrhoea
"""Cough, post infective""",Post-traumatic wound infection
STI screen,Blastocystis hominis
Vaginal discharge - episiotomy.,Vulvovaginal candidiasis
"""Cellulitis, leg""",Orbital cellulitis
Diverticulitis,Diverticulitis
URTI,Non-Match
Left Eye injury,Penetrating eye injury
"""URTI, viral""",Non-Match
Left Otitis media,Acute otitis media
Keratoacanthoma,Non-Match
Pharyngitis,Pharyngitis
Paronychia,Acute paronychia
Giardiasis,Giardiasis
HSV1 Infection,Bartonella henselae infection (cat scratch)
Viral illness,Systemic illness of unknown origin
"""Pharyngitis, bacterial""",Bacterial meningitis: Escherichia coli
Bronchitis,Bronchitis
Cellulitis,Orbital cellulitis
Stye,Stye
Influenza like illness,Cytomegalovirus systemic infection
Vulvo-vaginitis,"Vulvovaginitis, other pathogen(s)"
Bronchiectasis,"Bronchiectasis, acute exacerbation"
Eye discomfort,Penetrating eye injury
Oral candidiasis,Oral candidiasis
T2DM,Non-Match
Nipple candidiasis,Nipple candidiasis
Otitis externa,Chronic otitis externa
Right Ingrown toenail,Acute paronychia
"Dermatitis, ALlergic?",Seborrhoeic dermatitis
Scalp dermatitis,Seborrhoeic dermatitis
Chlamydia trachomatis infection,Asymptomatic Chlamydia trachomatis
"""Sinusitis, maxillary / URTI""",Complicated acute rhinosinusitis
Right Otitis media,Acute otitis media
Seborrhoeic dermatitis,Seborrhoeic dermatitis
"""PrEP, HIV""",Non-Match
Sore throat,Pharyngitis
Otitis media,Acute otitis media
Irregular menses,Non-Match
Cystitis,Non-Match
"""Thrush, vaginal""",Vulvovaginal candidiasis
Thrush,Non-Match
"""Sebaceous cyst, infected""",Infected sebaceous cyst
Wound breakdown,Post-traumatic wound infection
Cough,Non-Match
Gingivitis,Gingivitis
Herpes zoster,Herpes (varicella) zoster virus keratitis
"""UTI, recurrent""","Recurrent boils, Staphylococcus aureus"
Left Parotitis,Left ventricular assist device infection
Gout,Non-Match
Abdominal pain,"Peritonitis, undifferentiated intra-abdominal source"
"""Lesion, skin""","Skin and soft tissue infection, other"
Right Shoulder impingement syndrome,Cushing syndrome
"""Conjunctivitis, bacterial""",Bacterial conjunctivitis
"""Sinusitis, maxillary""",Chronic sinusitis
"""Moderate, Chronic  Right Otitis media""",Chronic suppurative otitis media
Pilonidal abscess,Pilonidal sinus
Orchitis,Epididymo-orchitis
Nausea,Non-Match
Rosacea,Rosacea
Infected eczema,Infected eczema
Diarrhoea,Travellers diarrhoea
Periorbital cellulitis,Periorbital cellulitis
Genital warts,Anogenital warts
Hay fever,Febrile neutropenia / neutropenic fever
Hysterectomy,"Surgical prophylaxis, gynaecological procedure"
Hypothyroidism,Non-Match
Oral thrush,Oral candidiasis
"""Bronchitis, acute""",Acute otitis media
Acute Chlamydia Infection,Acute Chlamydial conjunctivitis
"""Script written, no consultation""",Gonococcal pharyngitis
Impetigo,Impetigo
Compartment syndrome,Cushing syndrome
Acute Bilateral Infected earlobe - piercing,Acute otitis media
Boil,Boils or carbuncles
Urinary tract infection,Catheter associated urinary tract infection
GORD,Non-Match
Abscess,Epidural abscess
Molluscum contagiosum,Molluscum contagiosum
Lymphadenitis,"Cervical lymphadenitis, suppurative"
Eczema,Eczema herpeticum
Asthma,"Asthma, infective exacerbation"
Constipation,Non-Match
Chest infection,Bartonella henselae infection (cat scratch)
Iron deficiency,Pre exposure prophylaxis for human immunodeficiency virus
Pertussis prophylaxis,Pertussis prophylaxis
Chronic Left Varicose veins,Chronic sinusitis
Wisdom tooth pain,Tooth avulsion
Prostatitis,Acute prostatitis
"""Mild, Acute Right Paronychia""",Acute paronychia
Tarsal cyst,Meibomian abscess / chalazion
Wound dehiscence,Post-traumatic wound infection
Facial rash,Nappy rash
Carbuncle,Boils or carbuncles
Travel advice and vaccination.,Oral candidiasis
"""Abscess, skin""",Skin and soft tissue abscess
Blepharitis,Blepharitis
Colonoscopy - referral,Non-Match
Staphylococcal scalded skin syndrome,Staphylococcal scalded skin syndrome
Results follow up - left message,Chronic suppurative otitis media
"""Pharyngitis, streptococcal""",Pharyngitis
Abscess - left lower conjunctiva,Epidural abscess
Acute Left Skin infection - ear,"Skin and soft tissue infection, other"
Viral URTI,Non-Match
Refill,Non-Match
