raw,result
Sinusitis,Chronic sinusitis
Tonsillitis,Non-Match
Skin infection,Perianal fistula
LRTI,Non-Match
Bacterial vaginosis,Septic arthritis
Review,Non-Match
???UTI,Non-Match
Dental prophylaxis,Periodontal abscess
Infective exacerbation of asthma,"Asthma, infective exacerbation"
Atypical pneumonia,Pneumonia: Legionella species
Travel advice,Deworming
"""Sinusitis, frontal""",Chronic sinusitis
Perioral dermatitis,Deworming
Administrative procedure,Prophylaxis for endocarditis for dental procedure
Prescription,Non-Match
Perianal abscess,Deworming
Probable Hypertension - Borderline,Compound or open fracture
Travel vaccination,Deworming
"""Cough, post infective""",Pertussis prophylaxis
STI screen,Infected prosthetic neurological device e.g. CSF shunt
Vaginal discharge - episiotomy.,Vulvovaginal candidiasis
"""Cellulitis, leg""",Orbital cellulitis
Diverticulitis,Non-Match
URTI,Non-Match
Left Eye injury,"Surgical prophylaxis, dental / maxillofacial procedure"
"""URTI, viral""",Compound or open fracture
Left Otitis media,"Surgical prophylaxis, dental / maxillofacial procedure"
Keratoacanthoma,Non-Match
Pharyngitis,Gonococcal pharyngitis
Paronychia,Acute paronychia
Giardiasis,Non-Match
HSV1 Infection,Septic bursitis
Viral illness,Aseptic meningitis
"""Pharyngitis, bacterial""",Gonococcal pharyngitis
Bronchitis,Croup
Cellulitis,Orbital cellulitis
Stye,Non-Match
Influenza like illness,Bacterial meningitis: Haemophilus influenzae type b
Vulvo-vaginitis,Vulvovaginal candidiasis
Bronchiectasis,Non-Match
Eye discomfort,Blepharitis
Oral candidiasis,Strongyloides prophylaxis
T2DM,Non-Match
Nipple candidiasis,"Surgical prophylaxis, breast procedure"
Otitis externa,"Acute otitis externa, diffuse"
Right Ingrown toenail,Acute paronychia
"Dermatitis, ALlergic?",Deworming
Scalp dermatitis,Tinea capitis
Chlamydia trachomatis infection,Urethritis
"""Sinusitis, maxillary / URTI""",Chronic sinusitis
Right Otitis media,"Acute otitis externa, diffuse"
Seborrhoeic dermatitis,Deworming
"""PrEP, HIV""",Compound or open fracture
Sore throat,Pharyngitis
Otitis media,"Acute otitis externa, diffuse"
Irregular menses,Non-Match
Cystitis,Dacryocystitis
"""Thrush, vaginal""",Oesophageal candidiasis
Thrush,Oesophageal candidiasis
"""Sebaceous cyst, infected""",Infected sebaceous cyst
Wound breakdown,Compound or open fracture
Cough,Pertussis prophylaxis
Gingivitis,Acute ulcerative gingivitis
Herpes zoster,Recurrent benign lymphocytic meningitis
"""UTI, recurrent""",Compound or open fracture
Left Parotitis,"Surgical prophylaxis, dental / maxillofacial procedure"
Gout,Non-Match
Abdominal pain,Appendicitis
"""Lesion, skin""",Compound or open fracture
Right Shoulder impingement syndrome,Cushing syndrome
"""Conjunctivitis, bacterial""",Bacterial conjunctivitis
"""Sinusitis, maxillary""",Chronic sinusitis
"""Moderate, Chronic  Right Otitis media""",Compound or open fracture
Pilonidal abscess,Pilonidal sinus
Orchitis,Epididymo-orchitis
Nausea,Non-Match
Rosacea,Rosacea
Infected eczema,Burns related wound infection
Diarrhoea,Acute infectious diarrhoea
Periorbital cellulitis,Periorbital cellulitis
Genital warts,Mycoplasma genitalium
Hay fever,Endocarditis: Coxiella burnetii
Hysterectomy,"Surgical prophylaxis, gynaecological procedure"
Hypothyroidism,Non-Match
Oral thrush,Strongyloides prophylaxis
"""Bronchitis, acute""",Croup
Acute Chlamydia Infection,Creutzfeldt-Jakob disease
"""Script written, no consultation""",Compound or open fracture
Impetigo,Non-Match
Compartment syndrome,Cushing syndrome
Acute Bilateral Infected earlobe - piercing,Creutzfeldt-Jakob disease
Boil,"Recurrent boils, Staphylococcus aureus"
Urinary tract infection,Gastrointestinal / genitourinary fistula
GORD,Non-Match
Abscess,Brain abscess
Molluscum contagiosum,Molluscum contagiosum
Lymphadenitis,"Cervical lymphadenitis, suppurative"
Eczema,Seborrhoeic dermatitis
Asthma,"Asthma, infective exacerbation"
Constipation,Non-Match
Chest infection,"Pneumonia, community acquired, tropical Australia, pathogen unknown"
Iron deficiency,Post exposure prophylaxis for bloodborne viruses
Pertussis prophylaxis,Pertussis prophylaxis
Chronic Left Varicose veins,Free-living amoeba infection
Wisdom tooth pain,Tooth avulsion
Prostatitis,Acute prostatitis
"""Mild, Acute Right Paronychia""",Compound or open fracture
Tarsal cyst,Neurocysticercosis
Wound dehiscence,Compound or open fracture
Facial rash,"Surgical prophylaxis, dental / maxillofacial procedure"
Carbuncle,Boils or carbuncles
Travel advice and vaccination.,Deworming
"""Abscess, skin""",Brain abscess
Blepharitis,Blepharitis
Colonoscopy - referral,Compound or open fracture
Staphylococcal scalded skin syndrome,Pneumonia: Staphylococcus aureus
Results follow up - left message,Bacterial prophylaxis following lung transplant
"""Pharyngitis, streptococcal""",Gonococcal pharyngitis
Abscess - left lower conjunctiva,Brain abscess
Acute Left Skin infection - ear,Creutzfeldt-Jakob disease
Viral URTI,Aseptic meningitis
Refill,Non-Match
Vaginal discharge,Vulvovaginal candidiasis
"""Fever, prolonged""",Endocarditis: Coxiella burnetii
Bilateral Hearing aid,Non-Match
Right Ganglion foot,Diabetic foot infection
Left Tonsillitis,"Surgical prophylaxis, dental / maxillofacial procedure"
Onychomycosis,Onycholysis
Vulval lesion,Non-Match
Herpes Simplex genitalis,Recurrent benign lymphocytic meningitis
Referral letter,Non-Match
Migraine with aura,Prevention of infection in patients with cirrhosis and gastrointestinal bleeding
STD fear,Mycoplasma genitalium
